x,y
-0.001000,2137.562429
8639.999000,4339.242623
17279.999000,4355.641329
17280.001000,4355.641329
25920.001000,4096.272845
34559.999099,3974.166757
43199.999000,6308.403175
43200.001000,6308.403175
51840.001000,3315.443235
60479.999847,3037.398415
69119.999000,3415.833808
77759.999000,3677.401755
77760.001000,3677.401755
86399.999135,3666.076235
95039.999000,3822.338540
103679.999000,3967.791953
103680.001000,3967.791953
112320.001000,3743.452359
120960.001000,3023.160766
129600.001000,2584.129155
138239.999850,2271.368995
146879.999000,2694.786577
155519.999000,3459.421542
164159.999000,4001.332052
172799.999000,4524.658322
181439.999000,4814.007440
181440.001000,4814.007440
190080.001000,4766.923783
198720.001000,4717.562948
207359.999513,3816.375706
215999.999000,6430.996349
216000.001000,6430.996349
224640.000789,2497.534198
233279.999000,2961.423064
241919.999000,3713.287214
250559.999000,4132.632899
250560.001000,4132.632899
259199.999692,4053.710073
267839.999000,4202.730270
267840.001000,4202.730270
276480.001000,4002.054942
285120.001000,3672.079300
293759.999682,3140.237768
302399.999000,4169.126876
302400.001000,4169.126876
311040.001000,2483.464626
319679.999943,2375.184348
328319.999000,2496.459297
336959.999000,2579.427681
345599.999000,2659.064611
354239.999000,2689.204096
354240.001000,2689.204096
362880.001000,2653.096247
371520.001000,2477.928823
380159.999934,2079.160873
388799.999000,2534.533955
388800.001000,2534.533955
397440.001000,1792.094137
406079.999001,1791.944085
414719.999000,2052.378209
423359.999000,2249.487719
431999.999000,5231.987992
432000.001000,5231.987992
440640.001000,2258.488166
449280.001000,2205.348165
457920.001000,1973.609455
466560.000217,1559.719698
475199.999000,1826.081704
475200.001000,1826.081704
483840.001000,1374.613230
492479.999167,1350.569929
501119.999000,1613.823637
509759.999000,1742.354628
518399.999000,1893.517603
518400.001000,1893.517603
527039.999612,1841.675782
535679.999000,1959.388339
544319.999000,4518.935808
544320.001000,4518.935808
552960.001000,1577.515759
561600.000768,1265.774528
570239.999000,1306.780695
570240.001000,1306.780695
578879.999802,112.211684
587519.999000,1896.965383
596159.999000,4130.651916
596160.001000,4130.651916
604800.000969,2516.110038
613439.999000,2541.361088
622079.999000,2636.476861
630719.999000,4616.302609
630720.001000,4616.302609
639360.001000,1971.703376
648000.000962,1305.214802
656639.999000,1317.994779
656640.001000,1317.994779
665279.999094,1288.968473
673919.999000,1877.829567
682559.999000,4166.591140
682560.001000,4166.591140
691200.001000,2147.410157
699840.000347,2083.056322
708479.999000,2114.280870
717119.999000,4727.749882
717120.001000,4727.749882
725760.001000,1754.564702
734400.000813,1370.112038
743039.999000,1409.746839
751679.999000,1449.778408
760319.999000,1935.318395
768959.999000,4121.425902
768960.001000,4121.425902
777600.001000,2527.022301
786239.999783,2442.132087
794879.999000,2573.946864
803519.999000,4618.581741
803520.001000,4618.581741
812160.001000,2266.069714
820800.000900,1325.371299
829439.999000,1374.792731
838079.999000,1918.441305
838080.001000,1918.441305
846719.999171,1677.580985
855359.999000,4261.463750
855360.001000,4261.463750
864000.001000,1677.269588
