x,y
-0.001000,4207.831069
1727.999000,4475.515967
3455.999000,4852.134396
5183.999000,5119.848132
5184.001000,5119.848132
6912.001000,3641.057342
8640.000221,3524.648133
10367.999000,3598.897060
10368.001000,3598.897060
12096.000930,3579.316709
13823.999000,3580.025668
15551.999000,3582.211445
17279.999000,3583.573157
17280.001000,3583.573157
19008.001000,3555.955968
20736.001000,3461.363179
22464.001000,3405.806212
24192.001000,3334.570497
25920.000417,3279.738150
27647.999000,3302.311952
27648.001000,3302.311952
29376.001000,3248.313672
31103.999139,3099.874525
32831.999000,5083.500786
32832.001000,5083.500786
34560.001000,3472.447983
36288.001000,3130.874084
38016.001000,2976.056335
39744.000795,2926.019049
41471.999000,2931.743756
41472.001000,2931.743756
43200.001000,2901.712290
44928.001000,2834.910448
46656.001000,2787.666473
48384.001000,2779.516730
50112.001000,2756.467337
51840.001000,2587.897812
53568.000385,2446.713851
55295.999000,2509.434906
57023.999000,2531.753590
58751.999000,2546.463109
60479.999000,2558.010044
62207.999000,2561.352006
63935.999000,2570.323371
65663.999000,2633.212369
67391.999000,4100.346739
67392.001000,4100.346739
69120.001000,2889.333224
70848.000563,2768.496719
72575.999000,2802.324183
74303.999000,2812.760146
76031.999000,2822.458799
77759.999000,4946.404842
77760.001000,4946.404842
79488.001000,3790.471010
81216.001000,2919.303350
82944.001000,2815.824242
84672.001000,2806.854343
86399.999844,2803.629444
88127.999000,2808.048652
89855.999000,2816.960631
91583.999000,2837.602590
93311.999000,2885.110500
95039.999000,2948.162747
96767.999000,2998.611583
98495.999000,3047.169858
100223.999000,3096.065385
101951.999000,3121.712099
101952.001000,3121.712099
103680.001000,3095.858635
105408.001000,3070.385678
107136.001000,3047.468985
108864.001000,3043.793683
110591.999009,3034.231407
112319.999000,5087.453954
112320.001000,5087.453954
114048.001000,3515.940895
115776.001000,2920.932419
117504.001000,2914.302504
119232.001000,2896.328005
120960.001000,2849.011937
122688.001000,2796.079419
124416.001000,2733.177469
126144.001000,2672.205669
127872.001000,2552.890428
129600.000819,2469.597999
131327.999000,2477.866993
133055.999000,2527.457550
134783.999000,2683.531681
136511.999000,2768.107139
136512.001000,2768.107139
138240.001000,2684.090589
139968.001000,2642.845528
141695.999112,2591.984226
143423.999000,3447.366774
143424.001000,3447.366774
145152.000685,2764.151163
146879.999000,2891.994574
148607.999000,3063.792666
150335.999000,3230.892215
152063.999000,3254.916704
153791.999000,3298.169386
155519.999000,3399.240083
157247.999000,3494.332150
158975.999000,3602.291564
160703.999000,3776.086034
162431.999000,3869.636523
164159.999000,5103.119995
164160.001000,5103.119995
165888.001000,4216.061459
167616.000081,4121.237288
169343.999000,4201.784012
171071.999000,4304.827382
172799.999000,4409.436770
172800.001000,4409.436770
