x,y
-0.001000,292.856844
1727.999000,287.831082
1728.001000,287.831082
3456.001000,288.405916
5184.001000,288.824259
6912.001000,289.096997
8640.000553,289.176050
10367.999000,289.153306
12095.999000,289.093887
13823.999000,289.068003
13824.001000,289.068003
15552.001000,289.072973
17280.001000,289.085564
19008.001000,289.109893
20736.001000,289.156751
22464.001000,289.274584
24192.001000,289.563632
25920.001000,289.894081
27648.001000,290.152459
29376.001000,290.404404
31104.001000,290.627782
32832.001000,290.935214
34560.001000,291.233713
36288.001000,291.598948
38016.001000,291.908971
39743.999776,291.989548
41471.999000,291.862478
43199.999000,291.853271
44927.999000,291.791016
46655.999000,291.692147
46656.001000,291.692147
48384.001000,291.741017
50112.001000,291.830497
51840.001000,291.945830
53568.001000,292.071070
55296.001000,292.128386
57024.000084,292.154270
58751.999000,292.132410
60479.999000,292.096466
62207.999000,292.059607
63935.999000,292.009304
65663.999000,291.938025
67391.999000,291.819095
69119.999000,291.724554
69120.001000,291.724554
70848.001000,291.731018
72575.999221,291.733396
74303.999000,291.714250
76031.999000,291.699433
77759.999000,291.648611
79487.999000,291.602088
79488.001000,291.602088
81216.001000,291.618581
82944.000728,291.636782
84671.999000,291.633916
86399.999000,291.626417
86400.001000,291.626417
88128.001000,291.635532
89856.001000,291.650776
91584.001000,291.669708
93312.001000,291.687238
95040.001000,291.703061
96768.001000,291.717055
98496.001000,291.729128
100224.001000,291.741353
101952.001000,291.753792
103680.001000,291.768517
105408.001000,291.784035
107136.001000,291.799797
108864.001000,291.895831
110592.001000,292.140886
112320.001000,292.356704
114048.001000,292.472676
115776.001000,292.575967
117504.001000,292.648190
119232.001000,292.831845
120960.001000,293.043669
122688.001000,293.220067
124416.001000,293.368386
126143.999671,293.394483
127871.999000,293.342777
129599.999000,293.316497
131327.999000,293.271102
133055.999000,293.216195
134783.999000,293.176714
136511.999000,293.139520
138239.999000,293.115222
139967.999000,293.060040
141695.999000,292.984127
143423.999000,292.929921
145151.999000,292.896904
146879.999000,292.880227
148607.999000,292.862057
150335.999000,292.848917
152063.999000,292.811327
153791.999000,292.760505
155519.999000,292.747121
155520.001000,292.747121
157248.001000,292.782516
158976.000615,292.799254
160703.999000,292.795260
162431.999000,292.790413
162432.001000,292.790413
164159.999214,292.791114
165887.999000,292.785260
165888.001000,292.785260
167616.001000,292.791967
169343.999496,292.797211
171071.999000,292.781297
172799.999000,292.765657
172800.001000,292.765657
