x,y
-0.001000,293.443144
1727.999000,309.665893
3455.999000,323.245133
5183.999000,323.790905
6911.999000,323.960783
8639.999000,324.127056
10367.999000,324.296659
12095.999000,324.325130
12096.001000,324.325130
13824.001000,324.321648
15552.001000,324.318960
17280.001000,324.317829
19008.001000,324.293299
20736.001000,324.163897
22464.001000,324.027622
24192.001000,323.907385
25920.000978,323.857195
27647.999000,323.857744
27648.001000,323.857744
29376.001000,323.814885
31104.000688,323.211561
32831.999000,323.323031
32832.001000,323.323031
34560.000451,322.967695
36287.999000,323.102137
38015.999000,323.399217
38016.001000,323.399217
39744.001000,323.211958
41472.001000,323.107544
43200.001000,323.021154
44927.999465,322.874615
46655.999000,323.357703
46656.001000,323.357703
48384.000220,322.116442
50111.999000,322.909898
50112.001000,322.909898
51840.001000,322.369075
53568.001000,321.795779
55296.000893,321.670409
57023.999000,321.677496
58751.999000,321.711618
60479.999000,321.754630
62207.999000,321.809983
63935.999000,321.832528
65663.999000,322.007813
67391.999000,322.164952
67392.001000,322.164952
69120.001000,322.144760
70848.000015,321.574305
72575.999000,322.128142
74303.999000,322.695237
76031.999000,322.724441
77759.999000,322.750895
77760.001000,322.750895
79487.999936,319.291112
81215.999000,323.223963
81216.001000,323.223963
82944.001000,322.982816
84672.001000,322.777228
86400.001000,322.694503
88128.000378,322.672509
89855.999000,322.682437
91583.999000,322.721386
93311.999000,322.814221
95039.999000,322.966412
96767.999000,323.124407
98495.999000,323.280691
100223.999000,323.436792
101951.999000,323.566713
103679.999000,323.594450
103680.001000,323.594450
105408.001000,323.568790
107136.001000,323.521074
108864.000623,323.493428
110591.999000,323.499843
112319.999000,323.524679
112320.001000,323.524679
114048.001000,323.443848
115776.000869,323.011257
117503.999000,323.041560
119231.999000,323.130669
119232.001000,323.130669
120960.000365,322.461880
122687.999000,322.773012
124415.999000,323.130791
124416.001000,323.130791
126144.001000,323.042538
127871.999124,322.796259
129599.999000,326.508739
129600.001000,326.508739
131328.001000,322.693556
133056.000535,322.487204
134783.999000,322.549644
136511.999000,322.879625
138239.999000,322.945364
138240.001000,322.945364
139968.001000,322.888881
141696.001000,322.777472
143424.000070,322.661451
145151.999000,322.762381
146879.999000,323.342123
148607.999000,324.119664
150335.999000,324.620591
152063.999000,324.912356
153791.999000,325.341679
153792.001000,325.341679
155520.001000,325.182890
157247.999543,325.022452
158975.999000,325.452447
160703.999000,326.207168
162431.999000,326.354135
162432.001000,326.354135
164159.999830,311.264394
165887.999000,332.536000
165888.001000,332.536000
167616.000882,326.776524
169343.999000,327.138060
169344.001000,327.138060
171072.000217,327.028515
172799.999000,327.099020
172800.001000,327.099020
