x,y
0,0
36,7.030615734038292e-07
72,7.031255222500477e-07
108,7.031254654066288e-07
144,7.031254654066288e-07
180,7.031254654066288e-07
216,7.031254654066288e-07
252,7.031254654066288e-07
288,7.031254654066288e-07
324,7.031254654066288e-07
360,7.031254654066288e-07
396,7.031254654066288e-07
432,7.031254654066288e-07
468,7.031254654066288e-07
504.0000000000001,7.031254654066288e-07
540,7.031254654066288e-07
576,7.031254654066288e-07
612,7.031254654066288e-07
648,7.031254654066288e-07
684,7.031254654066288e-07
720,7.031254654066288e-07
756,7.031254654066288e-07
792,7.031254654066288e-07
828,7.031254654066288e-07
864,7.031254654066288e-07
900,7.031254654066288e-07
936,0.003005835693329573
972.0000000000001,0.02367116324603564
1008,0.04373418539762503
1044,0.06455931812524796
1080,0.08578355610370636
1116,0.1073407232761383
1152,0.1292020380496979
1188,0.1513399183750153
1224,0.173722118139267
1260,0.1963127255439758
1296,0.219074010848999
1332,0.2419681698083878
1368,0.2649598121643066
1404,0.2880180776119232
1440,0.3111185133457184
1476,0.3342374861240387
1512,0.3573459684848785
1548,0.3804146647453308
1584,0.4034151434898376
1620,0.4263207912445068
1656,0.4491049945354462
1692,0.471742570400238
1728,0.4942100048065186
1764,0.5164846777915955
1800,0.5385454893112183
1836,0.5603730082511902
1872,0.5819490551948547
1908,0.6032570600509644
1944,0.6242818832397462
1980,0.6450098752975465
2016,0.6654289364814759
2052,0.6855282187461853
2088,0.7052983641624451
2124,0.7247312664985657
2160,0.7438203096389771
2196,0.7625599503517151
2232,0.7809457182884216
2268,0.798974335193634
2304,0.8166435956954956
2340,0.8339522480964661
2376,0.8508998155593872
2412,0.8674866557121277
2448,0.883713960647583
2484,0.899583637714386
2520,0.9150981903076172
2556,0.9302605986595154
2592,0.9450744986534119
2628,0.9595439434051514
2664,0.9736733436584473
2700,0.9874674677848816
2736,0.9971305131912231
2772,0.9995523691177368
2808,0.9999398589134216
2844,0.9999923706054688
2880,0.9999990463256836
2916,1
2952,1.00000011920929
2988,1
3024,1
3060,1
3096,1
3132,1
3168,1
3204,1
3240,1
3276,1
3312,1
3348,1
3384,1
3420,1
3456,1
3492,1
3528,1
3564,1
3600,1
