x,y
-0.001000,293.443144
863.999000,322.129700
1727.999000,338.690525
1728.001000,338.690525
2592.000690,310.481049
3455.999000,315.649166
4319.999000,320.892166
5183.999000,325.409954
6047.999000,328.623675
6048.001000,328.623675
6912.000770,322.712651
7775.999000,323.479101
7776.001000,323.479101
8639.999678,323.333845
9503.999000,323.616812
10367.999000,324.250471
10368.001000,324.250471
11231.999064,324.028417
12095.999000,330.725873
12096.001000,330.725873
12960.000851,324.062937
13823.999000,324.599574
13824.001000,324.599574
14687.999090,324.267090
15551.999000,331.284842
15552.001000,331.284842
16416.001000,324.977515
17279.999041,324.829205
18143.999000,331.937288
18144.001000,331.937288
19008.000882,324.944799
19871.999000,325.383652
19872.001000,325.383652
20736.001000,324.922284
21599.999292,324.784421
22463.999000,325.590127
22464.001000,325.590127
23327.999103,325.170825
24191.999000,332.907251
24192.001000,332.907251
25056.000841,325.777541
25919.999000,326.393756
25920.001000,326.393756
26783.999144,325.793090
27647.999000,333.555024
27648.001000,333.555024
28512.001000,326.738552
29375.999080,326.425618
30239.999000,333.959267
30240.001000,333.959267
31104.000828,326.370388
31967.999000,327.083104
31968.001000,327.083104
32831.999155,326.451126
33695.999000,333.963788
33696.001000,333.963788
34560.001000,327.099142
35423.999084,326.827448
36287.999000,333.028680
36288.001000,333.028680
37152.001000,326.666642
38016.001000,326.592746
38880.001000,326.195285
39744.001000,325.871047
40608.001000,325.615360
41472.001000,325.417866
42336.001000,325.280278
43200.001000,325.192605
44064.001000,325.144522
44927.999961,325.130348
45791.999000,325.145683
46655.999000,334.786417
46656.001000,334.786417
47520.000935,322.218993
48383.999000,322.639945
49247.999000,323.186878
50111.999000,323.884505
50975.999000,324.151067
51839.999000,324.386990
52703.999000,324.605776
53567.999000,324.805133
54431.999000,324.985763
55295.999000,325.148035
56159.999000,325.293352
57023.999000,325.382889
57887.999000,325.432865
58751.999000,325.482781
59615.999000,325.538073
60479.999000,325.594679
61343.999000,325.641387
62207.999000,325.673981
63071.999000,325.691760
63072.001000,325.691760
63936.001000,325.691669
64800.001000,325.670377
65664.001000,325.618170
66528.001000,325.533888
67392.001000,325.432132
68256.001000,325.331965
69120.001000,325.247225
69984.001000,325.177728
70848.001000,325.130225
71711.999668,325.114554
72575.999000,325.145774
73439.999000,325.234425
74303.999000,325.361536
75167.999000,325.493809
76031.999000,325.554233
76895.999000,325.614138
77759.999000,325.662159
78623.999000,337.460384
78624.001000,337.460384
79488.000950,322.703119
80351.999000,323.078707
81215.999000,323.435234
82079.999000,323.736713
82943.999000,323.998907
83807.999000,324.231531
84671.999000,324.439533
85535.999000,324.626335
86399.999000,324.794105
86400.001000,324.794105
