x,y
-0.001000,-0.001000
0.001000,-0.001000
1728.001000,6939.597889
24191.999000,6939.597889
25919.999000,6407.809897
27647.999000,5834.388287
29375.999000,5277.062382
31103.999000,4814.182463
32831.999000,4279.781364
34559.999000,3847.244851
36287.999000,3284.909312
38015.999000,2835.617111
39743.999000,2665.623212
39744.001000,2665.623212
41472.000452,2785.433908
43199.999000,2740.176758
43200.001000,2740.176758
44928.001000,2819.381654
46655.999657,2928.520124
48383.999000,2705.481508
50111.999000,2457.652192
51839.999000,2207.279525
53567.999000,1971.436014
55295.999000,1895.513844
57023.999000,1888.320239
57024.001000,1888.320239
58752.001000,1973.935222
60480.001000,2099.425573
62208.001000,2235.272500
63936.001000,2387.953406
65664.001000,2572.169640
67392.001000,2834.701767
69120.000678,3019.410882
70847.999000,2984.023000
72575.999000,2978.318261
72576.001000,2978.318261
74304.001000,3042.000365
76032.001000,3113.882268
77759.999087,3261.691179
79487.999000,-0.001000
107136.001000,-0.001000
108864.000668,4683.071107
110591.999000,3751.803523
112319.999000,3253.040578
114047.999000,3005.557352
115775.999000,2795.579796
117503.999000,2689.881157
119231.999000,2476.973428
120959.999000,2250.992116
122687.999000,2061.240407
124415.999000,1907.934394
126143.999000,1887.115390
126144.001000,1887.115390
127872.000258,1924.288735
129599.999000,1902.386115
129600.001000,1902.386115
131328.001000,1907.814397
133055.999109,1910.025072
134783.999000,1871.668328
136511.999000,1826.662720
138239.999000,1731.348949
139967.999000,1645.421413
141695.999000,1613.559020
143423.999000,1601.010302
145151.999000,1586.062496
146879.999000,1563.813161
146880.001000,1563.813161
148608.001000,1570.508974
150336.001000,1614.445706
152064.001000,1753.243781
153792.001000,2059.181677
155520.000881,2274.615915
157247.999000,2260.981872
157248.001000,2260.981872
158976.001000,2264.061553
160704.001000,2316.283449
162432.001000,2365.805410
164159.999020,2389.498707
165887.999000,-0.001000
172800.001000,-0.001000
