x,y
-0.001000,293.443144
1727.999000,309.218700
3455.999000,317.270384
5183.999000,322.243216
6911.999000,325.233570
8639.999000,326.968793
10367.999000,327.928187
12095.999000,328.181339
12096.001000,328.181339
15552.001000,328.131851
17280.001000,328.124305
19008.001000,328.097148
20736.001000,327.943766
22464.001000,327.768725
24192.001000,327.620170
25920.000948,327.489608
27647.999000,327.493121
27648.001000,327.493121
29376.001000,327.473936
31104.001000,327.217118
32832.000400,326.987855
34559.999000,327.086128
36287.999000,327.164454
36288.001000,327.164454
38016.001000,326.937573
39744.001000,322.932748
41472.001000,300.429952
43200.001000,295.098637
44928.001000,293.835443
46655.999029,293.536102
48383.999000,313.824528
50111.999000,320.990806
51839.999000,325.274901
51840.001000,325.274901
53568.000042,322.227028
55295.999000,325.027156
55296.001000,325.027156
57024.001000,324.961661
58752.000988,324.844540
60479.999000,324.845273
60480.001000,324.845273
62208.001000,307.006407
63936.001000,296.656406
65664.001000,294.204494
67391.999074,293.623562
69119.999000,308.832419
70847.999000,317.872517
72575.999000,323.491625
74303.999000,326.125055
76031.999000,326.221403
76032.001000,326.221403
77760.001000,326.144056
79488.000287,326.133914
81215.999000,326.139534
81216.001000,326.139534
82944.001000,326.128537
84672.001000,326.083356
86400.001000,326.028156
88128.000405,326.004115
89855.999000,326.014287
89856.001000,326.014287
91584.000015,322.103553
93311.999000,325.899762
95039.999000,326.606768
96767.999000,326.672507
98495.999000,326.797235
100223.999000,326.977988
101951.999000,327.146583
103679.999000,327.194543
103680.001000,327.194543
105408.001000,327.167508
107136.001000,327.107054
108864.000462,327.070610
110591.999000,327.084020
110592.001000,327.084020
112320.001000,327.059918
114048.001000,326.887657
115776.000319,326.766015
117503.999000,326.828822
119231.999000,326.861722
119232.001000,326.861722
120960.001000,326.786574
122688.001000,326.698748
124416.001000,321.141163
126144.001000,300.005394
127872.001000,294.997920
129600.001000,293.811523
131327.999015,293.530420
133055.999000,330.733479
133056.001000,330.733479
134784.000349,318.338838
136511.999000,324.321281
138239.999000,326.656714
138240.001000,326.656714
139968.001000,326.512802
141696.001000,326.256106
143423.999988,326.068663
145151.999000,326.260780
145152.001000,326.260780
146880.001000,306.874653
148608.001000,296.625308
150336.001000,294.197040
152063.999067,293.621759
153791.999000,310.092314
155519.999000,317.960709
157247.999000,322.851857
158975.999000,325.810562
160703.999000,327.519331
162431.999000,328.708141
164159.999000,329.588231
165887.999000,330.299452
167615.999000,331.100362
167616.001000,331.100362
169344.000230,326.407657
171071.999000,329.346290
172799.999000,331.543187
172800.001000,331.543187
