x,y
0.000000,0.000000
1728.000000,9.283677
3456.000000,21.691380
5184.000000,8.657135
6912.000000,8.759009
8640.000000,9.870473
10368.000000,9.977892
12096.000000,9.287567
13824.000000,8.594226
15552.000000,8.063836
17280.000000,7.671739
19008.000000,7.341727
20736.000000,6.934779
22464.000000,6.546096
24192.000000,6.170819
25920.000000,5.802784
27648.000000,5.587112
29376.000000,5.352029
31104.000000,4.871515
32832.000000,7.987716
34560.000000,4.471282
36288.000000,5.911680
38016.000000,5.163630
39744.000000,4.466924
41472.000000,3.998988
43200.000000,3.616130
44928.000000,3.195534
46656.000000,2.775822
48384.000000,2.457200
50112.000000,2.195533
51840.000000,1.622844
53568.000000,0.782195
55296.000000,0.408172
57024.000000,0.226709
58752.000000,0.125246
60480.000000,0.059365
62208.000000,0.002839
63936.000000,0.000000
65664.000000,0.062272
67392.000000,0.265502
69120.000000,0.509072
70848.000000,0.759844
72576.000000,1.369055
74304.000000,5.008393
76032.000000,4.889486
77760.000000,3.173385
79488.000000,2.909564
81216.000000,2.699907
82944.000000,2.511474
84672.000000,2.319930
86400.000000,2.144509
88128.000000,2.020632
89856.000000,1.948479
91584.000000,1.411324
93312.000000,2.208515
95040.000000,2.292790
96768.000000,2.413728
98496.000000,2.594891
100224.000000,2.810151
101952.000000,3.006363
103680.000000,3.073151
105408.000000,3.057156
107136.000000,2.998257
108864.000000,2.954441
110592.000000,2.921808
112320.000000,0.000000
114048.000000,0.229651
115776.000000,4.634278
117504.000000,4.179723
119232.000000,3.171115
120960.000000,3.519508
122688.000000,2.977979
124416.000000,2.388265
126144.000000,1.821181
127872.000000,1.118713
129600.000000,0.405259
131328.000000,0.000000
133056.000000,0.000000
134784.000000,0.000000
136512.000000,0.326506
138240.000000,0.310758
139968.000000,0.173304
141696.000000,0.000000
143424.000000,0.000000
145152.000000,0.000000
146880.000000,0.548816
148608.000000,1.345346
150336.000000,2.222071
152064.000000,2.871225
153792.000000,7.755662
155520.000000,5.732908
157248.000000,5.225314
158976.000000,5.846357
160704.000000,6.151036
162432.000000,4.718139
164160.000000,0.258732
165888.000000,0.000000
167616.000000,2.069860
169344.000000,3.497868
171072.000000,1.199952
172800.000000,0.000000
