x,y
-0.001000,293.443144
0.001000,293.443144
1728.000831,288.551447
3455.999000,289.003956
5183.999000,289.352968
6911.999000,289.611191
8639.999000,289.715238
8640.001000,289.715238
10368.001000,289.662084
12096.001000,289.606395
13823.999388,289.602546
15551.999000,289.618522
17279.999000,289.638012
19007.999000,289.663031
20735.999000,289.698528
22463.999000,289.828235
24191.999000,290.135488
25919.999000,290.423281
27647.999000,290.620286
29375.999000,290.822453
31103.999000,290.916328
32831.999000,291.144430
34559.999000,291.232653
36287.999000,291.331690
38015.999000,291.432896
39743.999000,291.515559
41471.999000,291.517025
43199.999000,291.520844
43200.001000,291.520844
44928.001000,291.500652
46655.999535,291.463200
48383.999000,291.565811
50111.999000,291.697229
51839.999000,291.849755
53567.999000,291.980898
55295.999000,292.032769
57023.999000,292.061942
57024.001000,292.061942
58752.001000,292.055619
60480.000896,291.990979
62207.999000,291.994523
62208.001000,291.994523
63936.001000,291.939444
65664.001000,291.856170
67392.001000,291.736636
69120.000656,291.651223
70847.999000,291.668972
72575.999000,291.684826
72576.001000,291.684826
74304.001000,291.680122
76032.001000,291.663962
77760.001000,291.601277
79488.000097,291.435523
81215.999000,291.571859
82943.999000,291.588630
82944.001000,291.588630
84672.001000,291.575861
86400.000050,291.564375
88127.999000,291.574761
89855.999000,291.590799
91583.999000,291.608242
93311.999000,291.626662
95039.999000,291.648321
96767.999000,291.672882
98495.999000,291.698114
100223.999000,291.723775
101951.999000,291.751146
103679.999000,291.777570
105407.999000,291.799290
107135.999000,291.819024
108863.999000,291.919191
110591.999000,292.171641
112319.999000,292.399163
114047.999000,292.479229
115775.999000,292.633833
117503.999000,292.692272
119231.999000,292.768825
120959.999000,292.848403
122687.999000,293.109436
124415.999000,293.378596
126143.999000,293.540287
127871.999000,293.609081
129599.999000,293.620231
129600.001000,293.620231
131328.001000,293.569124
133056.001000,293.514932
134784.000139,293.488325
136511.999000,293.508456
138239.999000,293.545419
138240.001000,293.545419
139967.999377,293.533475
141695.999000,293.584948
141696.001000,293.584948
143424.001000,293.564603
145152.000084,293.547221
146879.999000,293.561915
148607.999000,293.577372
150335.999000,293.578686
150336.001000,293.578686
152064.001000,293.527762
153792.001000,293.401690
155520.000663,293.323456
157247.999000,293.339311
158975.999000,293.348720
158976.001000,293.348720
160704.001000,293.341022
162432.001000,293.339250
164160.001000,293.273388
165887.999675,293.168364
167615.999000,293.374472
167616.001000,293.374472
169344.001000,293.351622
171072.001000,293.343771
172800.001000,293.336653
