x,y
0.000000,0.000000
1728.000000,6.574618
3456.000000,8.168708
5184.000000,9.188475
6912.000000,9.963447
8640.000000,10.682665
10368.000000,11.402476
12096.000000,12.146316
13824.000000,12.925221
15552.000000,13.700404
17280.000000,14.453228
19008.000000,15.168625
20736.000000,15.848733
22464.000000,16.469763
24192.000000,17.046426
25920.000000,16.406834
27648.000000,17.485177
29376.000000,18.016366
31104.000000,18.462376
32832.000000,18.880454
34560.000000,19.262541
36288.000000,19.786066
38016.000000,20.060978
39744.000000,20.603217
41472.000000,20.946224
43200.000000,21.270854
44928.000000,21.642764
46656.000000,21.904917
48384.000000,22.256815
50112.000000,22.615441
51840.000000,4.636333
53568.000000,7.944866
55296.000000,11.251099
57024.000000,16.395545
58752.000000,17.323159
60480.000000,18.196636
62208.000000,18.833949
63936.000000,19.285823
65664.000000,19.560573
67392.000000,19.773532
69120.000000,19.991033
70848.000000,20.278483
72576.000000,20.638716
74304.000000,20.706765
76032.000000,21.363711
77760.000000,20.694218
79488.000000,21.899088
81216.000000,7.837172
82944.000000,7.552752
84672.000000,11.447259
86400.000000,12.438580
88128.000000,16.604351
89856.000000,17.737444
91584.000000,18.521536
93312.000000,19.084277
95040.000000,19.500766
96768.000000,19.826713
98496.000000,20.113290
100224.000000,20.414447
101952.000000,20.777208
103680.000000,21.226496
105408.000000,21.750781
107136.000000,0.221164
108864.000000,9.664230
110592.000000,11.945766
112320.000000,14.913371
114048.000000,16.493544
115776.000000,17.649696
117504.000000,18.444201
119232.000000,19.022891
120960.000000,19.469955
122688.000000,19.207383
124416.000000,18.146165
126144.000000,18.692636
127872.000000,19.171220
129600.000000,21.245422
131328.000000,1.527758
133056.000000,9.872464
134784.000000,12.770765
136512.000000,13.068790
138240.000000,12.982606
139968.000000,12.785330
141696.000000,12.727109
143424.000000,8.396455
145152.000000,10.747573
146880.000000,13.635106
148608.000000,15.316865
150336.000000,16.071418
152064.000000,17.075816
153792.000000,18.537625
155520.000000,19.787953
157248.000000,20.908623
158976.000000,21.830941
160704.000000,19.384541
162432.000000,19.682204
164160.000000,20.367470
165888.000000,20.358494
167616.000000,20.484360
169344.000000,20.602759
171072.000000,20.758245
172800.000000,20.978481
