x,y
-0.001000,0.001000
1727.999000,6953.490978
24192.001000,6953.490978
25920.001000,6420.638345
27648.001000,5846.068744
29376.001000,5287.627071
31104.001000,4823.820466
32832.001000,4288.349495
34560.001000,3854.947043
36288.001000,3291.485707
38016.001000,2841.294022
39744.000173,2670.959877
41471.999000,2791.010390
41472.001000,2791.010390
43199.999727,2745.662631
44927.999000,2825.026061
46655.999000,2934.383112
46656.001000,2934.383112
48384.001000,2710.897887
50112.001000,2462.572417
51840.001000,2211.698503
53568.001000,1975.382833
55296.001000,1899.308666
57023.999155,1892.100667
58751.999000,1977.887044
60479.999000,2103.628627
62207.999000,2239.747520
63935.999000,2392.734094
65663.999000,2577.319129
67391.999000,2840.376846
69119.999000,3025.455783
69120.001000,3025.455783
70848.001000,2989.997020
72575.999164,2984.280866
74303.999000,3048.090456
76031.999000,3120.116267
77759.999000,3268.221255
77760.001000,3268.221255
79488.001000,0.001000
107135.999000,0.001000
108863.999000,4692.447525
108864.001000,4692.447525
110592.001000,3759.314641
112320.001000,3259.553172
114048.001000,3011.574484
115776.001000,2801.176552
117504.001000,2695.266304
119232.001000,2481.932334
120960.001000,2255.498607
122688.001000,2065.367015
124416.001000,1911.754083
126143.999718,1890.893414
127871.999000,1928.141181
127872.001000,1928.141181
129600.000603,1906.194701
131327.999000,1911.633845
133055.999000,1913.848949
133056.001000,1913.848949
134784.001000,1875.415412
136512.001000,1830.319702
138240.001000,1734.815113
139968.001000,1648.715550
141696.001000,1616.789369
143424.001000,1604.215528
145152.001000,1589.237797
146880.000537,1566.943925
148607.999000,1573.653136
150335.999000,1617.677829
152063.999000,1756.753778
153791.999000,2063.304163
155519.999000,2279.169715
155520.001000,2279.169715
157248.000631,2265.508365
158975.999000,2268.594209
160703.999000,2320.920653
162431.999000,2370.541758
164159.999000,2394.282516
164160.001000,2394.282516
165888.001000,0.001000
172800.001000,0.001000
