x,y
-0.001000,292.856844
0.001000,292.856844
1728.001000,293.800479
3456.000941,295.143861
5183.999000,295.102917
6911.999000,295.050479
8639.999000,295.002615
10367.999000,294.963866
12095.999000,294.916855
13823.999000,294.863716
15551.999000,294.805821
17279.999000,294.732804
19007.999000,294.710610
19008.001000,294.710610
20736.001000,294.888105
22464.001000,294.908166
24192.001000,294.916275
25920.001000,294.918287
27648.000535,294.978804
29375.999000,294.960482
31103.999000,280.933537
31104.001000,280.933537
32832.001000,292.808583
34560.001000,294.744572
36288.001000,294.812711
38016.001000,294.907038
39744.000608,294.927403
41471.999000,294.922434
43199.999000,294.907739
44927.999000,294.892678
46655.999000,294.882587
48383.999000,294.827131
48384.001000,294.827131
50112.000612,294.904080
51839.999000,294.885544
53567.999000,294.880910
55295.999000,294.880331
55296.001000,294.880331
57023.999367,294.881551
58751.999000,294.876124
60479.999000,294.861246
60480.001000,294.861246
62208.000256,295.545223
63935.999000,295.139837
65663.999000,294.986274
67391.999000,283.374179
67392.001000,283.374179
69120.001000,295.079655
70848.000590,295.320198
72575.999000,295.258188
72576.001000,295.258188
74303.999383,295.283309
76031.999000,295.177367
77759.999000,295.161452
79487.999000,294.130166
79488.001000,294.130166
81216.001000,294.587168
82944.001000,294.647684
84672.001000,294.715701
86400.001000,294.761218
88128.001000,294.796979
89856.001000,294.823137
91584.001000,294.840637
93312.001000,294.850454
95040.001000,294.854539
96767.999154,294.854630
98495.999000,294.853533
100223.999000,294.851460
100224.001000,294.851460
101952.001000,294.851673
103680.001000,294.853381
105408.001000,294.854722
107136.001000,294.855698
108864.000231,294.855941
110591.999000,294.855789
110592.001000,294.855789
112320.001000,294.859204
114048.001000,294.934964
115775.999004,294.961853
117503.999000,280.329528
117504.001000,280.329528
119232.001000,292.643526
120960.001000,294.602838
122688.001000,294.733292
124416.001000,294.882953
126144.001000,294.924812
127871.999600,294.931641
129599.999000,294.915696
131327.999000,294.802010
131328.001000,294.802010
133056.000682,294.950878
134783.999000,294.922769
136511.999000,294.905300
138239.999000,294.899751
139967.999000,294.896398
141695.999000,294.893441
143423.999000,294.889355
145151.999000,294.884081
146879.999000,294.882922
146880.001000,294.882922
148608.000349,295.601106
150335.999000,295.254285
152063.999000,295.067003
153791.999000,282.655264
153792.001000,282.655264
155520.001000,294.929049
157248.000346,295.276327
158975.999000,295.107643
160703.999000,295.044473
162431.999000,294.905940
164159.999000,294.878685
165887.999000,293.850417
165888.001000,293.850417
167616.001000,294.503176
169344.001000,294.647227
171072.001000,294.712591
172800.001000,294.760243
