x,y
-0.001000,293.443144
0.001000,293.443144
1728.000821,288.450486
3455.999000,288.940935
5183.999000,289.338946
6911.999000,289.629459
8639.999000,289.673845
8640.001000,289.673845
10368.001000,289.603981
12096.001000,289.546826
13823.999408,289.543007
15551.999000,289.557884
17279.999000,289.575663
19007.999000,289.598758
20735.999000,289.632880
22463.999000,289.760663
24191.999000,290.066144
25919.999000,290.352410
27647.999000,290.547429
29375.999000,290.747519
31103.999000,290.915167
31104.001000,290.915167
32831.999375,290.855598
34559.999000,291.113699
36287.999000,291.256756
38015.999000,291.350691
39743.999000,291.427642
41471.999000,291.427794
43199.999000,291.431094
43200.001000,291.431094
44928.001000,291.410474
46655.999547,291.372350
48383.999000,291.473586
50111.999000,291.603476
51839.999000,291.754537
53567.999000,291.882839
55295.999000,291.935382
57023.999000,291.964616
57024.001000,291.964616
58752.001000,291.957559
60480.001000,291.926523
62208.001000,291.886993
63936.001000,291.831701
65664.001000,291.752612
67392.001000,291.633383
69120.000260,291.490357
70847.999000,291.574425
72575.999000,291.582123
72576.001000,291.582123
74304.001000,291.570607
76032.001000,291.552095
77760.001000,291.490937
79488.000092,291.267234
81215.999000,291.453363
82943.999000,291.470287
82944.001000,291.470287
84672.001000,291.456937
86400.000035,291.446032
88127.999000,291.456204
89855.999000,291.471448
91583.999000,291.487944
93311.999000,291.505173
95039.999000,291.525396
96767.999000,291.548673
98495.999000,291.572562
100223.999000,291.596970
101951.999000,291.623088
103679.999000,291.648596
105407.999000,291.669460
107135.999000,291.688553
108863.999000,291.787834
110591.999000,292.039031
112319.999000,292.265729
114047.999000,292.267928
115775.999000,292.459465
117503.999000,292.559265
119231.999000,292.631542
120959.999000,292.708554
122687.999000,292.968732
124415.999000,293.238013
126143.999000,293.410519
127871.999000,293.496114
129599.999000,293.521866
129600.001000,293.521866
131328.001000,293.484873
133056.001000,293.442014
134783.999746,293.424387
136511.999000,293.453988
138239.999000,293.502621
139967.999000,293.537996
141695.999000,293.550062
141696.001000,293.550062
143424.001000,293.545480
145152.001000,293.545327
146879.999756,293.438776
148607.999000,293.614030
150335.999000,293.633061
150336.001000,293.633061
152064.001000,293.580396
153792.001000,293.447909
155520.000809,293.359809
157247.999000,293.369126
158975.999000,293.374319
158976.001000,293.374319
160704.001000,293.362558
162432.001000,293.356509
164160.001000,293.345543
165888.000392,293.183791
167615.999000,293.254418
169343.999000,293.346093
171071.999000,293.360847
171072.001000,293.360847
172800.001000,293.344718
