x,y
0,0.003369682235643268
36,0.003369682235643268
72,0.003369682235643268
108,0.003369682235643268
144,0.003369682235643268
180,0.003369682235643268
216,0.003369682235643268
252,0.003369682235643268
288,0.003369682235643268
324,0
360,0
396,0
432,0
468,0
504.0000000000001,0
540,0
576,0
612,0.003369682235643268
648,0.003369682235643268
684,0.003369682235643268
720,0.003369682235643268
756,0.003369682235643268
792,0.003369682235643268
828,0.003369682235643268
864,0.003369682235643268
900,0.003369682235643268
936,0
972.0000000000001,0
1008,0
1044,0
1080,0
1116,0
1152,0
1188,0
1224,72.85157012939453
1260,75.46312713623047
1296,78.31850433349609
1332,81.54821014404297
1368,85.20761871337891
1404,89.34265899658203
1440,93.86199951171875
1476,98.66122436523438
1512,0
1548,0
1584,0
1620,0
1656,0
1692,0
1728,0
1764,0
1800,0
1836,142.7817077636719
1872,146.2481079101562
1908,149.6373901367188
1944,152.9630737304688
1980,156.2362213134766
2016,159.4651336669922
2052,162.6510772705078
2088,165.703125
2124,0
2160,0
2196,0
2232,0
2268,0
2304,0
2340,0
2376,0
2412,194.5455017089844
2448,198.4547119140625
2484,202.3221435546875
2520,206.147216796875
2556,209.9293060302734
2592,213.6677856445312
2628,217.362060546875
2664,221.0115203857422
2700,224.6156005859375
2736,0
2772,0
2808,0
2844,0
2880,0
2916,0
2952,0
2988,0
3024,227.6717681884766
3060,227.6717681884766
3096,227.6717681884766
3132,227.6717681884766
3168,227.6717681884766
3204,227.6717681884766
3240,227.6717681884766
3276,227.6717681884766
3312,0
3348,0
3384,0
3420,0
3456,0
3492,0
3528,0
3564,0
3600,0
