x,y
-0.001000,0.043326
0.001000,0.043326
1728.001000,6.215696
119231.999000,6.215696
120959.999000,6.210921
122687.999000,6.201585
124415.999000,6.183918
126143.999000,6.157118
127871.999000,6.121776
129599.999000,6.063892
131327.999000,5.974761
133055.999000,5.840211
134783.999000,5.620886
136511.999000,5.253195
138239.999000,4.770731
139967.999000,4.311495
141695.999000,4.020694
143423.999000,3.864308
145151.999000,3.783271
146879.999000,3.728986
146880.001000,3.728986
148608.001000,3.741570
150336.001000,3.805341
152064.001000,4.023476
153792.001000,4.429952
155520.001000,4.751870
157248.001000,4.861934
158976.001000,4.952873
160704.001000,5.077229
162432.001000,5.211030
164160.001000,5.331796
165888.001000,5.448702
167616.001000,5.529775
169344.001000,5.594064
171072.001000,5.674499
172800.001000,5.753526
