x,y
-0.001000,292.856844
8639.999000,289.494152
17279.999000,289.444305
17280.001000,289.444305
25920.001000,290.359527
34560.001000,291.215207
43200.001000,291.353710
51840.001000,291.907873
60479.999766,292.113021
69119.999000,291.782327
77759.999000,291.781931
77760.001000,291.781931
86400.001000,291.787114
95040.001000,291.870008
103680.001000,292.046376
112320.001000,292.696878
120960.001000,293.087997
129599.999276,293.127813
138239.999000,292.879130
146879.999000,292.843125
155519.999000,292.700506
155520.001000,292.700506
164160.001000,292.774315
172800.001000,292.793339
181439.999861,292.872331
190079.999000,292.767761
190080.001000,292.767761
198720.001000,293.035315
207359.999799,293.135526
215999.999000,292.984768
224639.999000,292.927909
233279.999000,292.821540
241919.999000,292.688708
241920.001000,292.688708
250560.001000,292.770626
259200.001000,292.771358
267840.000648,292.877728
276479.999000,292.855045
276480.001000,292.855045
285120.000191,293.158269
293759.999000,292.952116
302399.999000,292.860106
302400.001000,292.860106
311040.000064,292.871813
319679.999000,292.861508
328319.999000,292.667824
328320.001000,292.667824
336960.001000,292.739103
345600.001000,292.776389
354240.001000,292.850289
362880.001000,292.864557
371520.000247,293.184366
380159.999000,292.991231
388799.999000,292.902300
397439.999000,292.857728
406079.999000,292.854496
414719.999000,292.672489
414720.001000,292.672489
423360.001000,292.748554
432000.001000,292.760749
440640.001000,292.825290
449280.001000,292.840167
457920.000276,293.151379
466559.999000,292.974615
475199.999000,292.906141
483839.999000,292.872209
492479.999000,292.850137
501119.999000,292.642215
501120.001000,292.642215
509760.001000,292.688037
518400.001000,292.727823
527040.001000,292.743920
535680.001000,292.775322
544320.000877,293.210707
552959.999000,293.182171
561599.999000,292.985103
570239.999000,292.925714
578879.999000,292.789041
587519.999000,292.596180
587520.001000,292.596180
596160.001000,292.650294
604800.001000,292.689622
613440.001000,292.724774
622080.001000,292.756511
630720.001000,293.200616
639359.999468,293.284120
647999.999000,293.010986
656639.999000,292.827942
665279.999000,292.806754
673919.999000,292.595539
673920.001000,292.595539
682560.001000,292.648953
691200.001000,292.664775
699840.000623,292.711665
708479.999000,292.700781
708480.001000,292.700781
717120.001000,293.146380
725759.999421,293.207902
734399.999000,292.977298
743039.999000,292.932116
751679.999000,292.815503
760319.999000,292.602673
760320.001000,292.602673
768960.001000,292.640325
777600.001000,292.657733
786240.000328,292.689257
794879.999000,292.673312
794880.001000,292.673312
803520.001000,293.149764
812159.999720,293.295004
820799.999000,293.036718
829439.999000,292.928885
838079.999000,292.765352
846719.999000,292.607490
846720.001000,292.607490
855360.001000,292.653648
864000.001000,292.655111
